Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Watermead Country Park North,41,41,61,61,45,45,21,21,34,34,41,41,61,61,45,45,21,21,34,34,Sep,40.0,93
Branston Fen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92
Coombe Country Park,18,18,18Supplementary visit under the WeBS Core Count SurveyWeBS,18Supplementary visit under the WeBS Core Count SurveyWeBS,10,10,10,10,9,9,18,18,18Supplementary visit under the WeBS Core Count SurveyWeBS,18Supplementary visit under the WeBS Core Count SurveyWeBS,10,10,10,10,9,9,May,13.0,92
Killingworth Lake,nan,nan,nan,nan,35,35,44,44,39,39,nan,nan,nan,nan,35,35,44,44,39,39,Nov,39.0,92
Loch Eye,168,168,17,17,(39),(39),195,195,96,96,168,168,17,17,(39),(39),195,195,96,96,Oct,119.0,92
River Soar - West Bridge to Aylestone Mead,99,99,101,101,82,82,96,96,75,75,99,99,101,101,82,82,96,96,75,75,Feb,91.0,92
Walcot Hall Lakes,nan,nan,6,6,8,8,8,8,9,9,nan,nan,6,6,8,8,8,8,9,9,Oct,8.0,92
Dee Estuary (England and Wales),96,96,115,115,143,143,115,115,122,122,96,96,115,115,143,143,115,115,122,122,Jan,118.0,91
Dupplin and Pitcairnie Lochs,26,26,18,18,29,29,73,73,75,75,26,26,18,18,29,29,73,73,75,75,Dec,44.0,91
Forfar Loch,75,75,60,60,23,23,nan,nan,48,48,75,75,60,60,23,23,nan,nan,48,48,Sep,52.0,91
River Wye - Sellack Boat to Kidley Hill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,91
Lower Windrush Valley Gravel Pits,80,80,56,56,66,66,90,90,154,154,80,80,56,56,66,66,90,90,154,154,Oct,89.0,90
Dee Estuary (Welsh counties),26,26,85,85,93,93,83,83,54.0,54.0,26,26,85,85,93,93,83,83,54.0,54.0,Dec,68.0,89
River Ouse through Bedford,nan,nan,55,55,103,103,93,93,89.0,89.0,nan,nan,55,55,103,103,93,93,89.0,89.0,Feb,85.0,89
Slapton Ley,46,46,44,44,1,1,37,37,21.0,21.0,46,46,44,44,1,1,37,37,21.0,21.0,Jul,30.0,87
Avon Estuary (Devon),(57),(57),40,40,36,36,(65),(65),57.0,57.0,(57),(57),40,40,36,36,(65),(65),57.0,57.0,Nov,51.0,86
Birns Farm Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86
Cassington and Yarnton Gravel Pits,25,25,4,4,12,12,8,8,14.0,14.0,25,25,4,4,12,12,8,8,14.0,14.0,Oct,13.0,84
Crouch-Roach Estuary,(61),(61),48,48,(52),(52),(50),(50),28.0,28.0,(61),(61),48,48,(52),(52),(50),(50),28.0,28.0,Feb,48.0,84
Grantham Canal - Cotgrave to Gamston,8Supplementary visit under the WeBS Core Count SurveyWeBS,8Supplementary visit under the WeBS Core Count SurveyWeBS,9,9,3,3,nan,nan,nan,nan,8Supplementary visit under the WeBS Core Count SurveyWeBS,8Supplementary visit under the WeBS Core Count SurveyWeBS,9,9,3,3,nan,nan,nan,nan,nan,7.0,84
Middle Yare Marshes,145,145,41,41,37,37,103,103,54.0,54.0,145,145,41,41,37,37,103,103,54.0,54.0,Nov,76.0,84
