Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Blithfield Reservoir,133,133,164,164,157,157,84.0,84.0,154,154,133,133,164,164,157,157,84.0,84.0,154,154,Aug,138.0,67
Eversley Cross and Yateley Gravel Pits,47,47,43,43,37,37,70.0,70.0,59,59,47,47,43,43,37,37,70.0,70.0,59,59,Dec,51.0,67
North West Solent,26,26,(38),(38),42,42,42.0,42.0,(42),(42),26,26,(38),(38),42,42,42.0,42.0,(42),(42),Nov,38.0,67
River Clyde - Lamington,42,42,63,63,(49),(49),63.0,63.0,78,78,42,42,63,63,(49),(49),63.0,63.0,78,78,Nov,62.0,67
Solway Estuary (Scottish counties),46,46,41,41,41,41,117.0,117.0,73,73,46,46,41,41,41,41,117.0,117.0,73,73,Jan,64.0,67
Brent Reservoir,17,17,39,39,36,36,48.0,48.0,30,30,17,17,39,39,36,36,48.0,48.0,30,30,Jul,34.0,66
Messingham Sand Quarries,nan,nan,nan,nan,nan,nan,nan,nan,28,28,nan,nan,nan,nan,nan,nan,nan,nan,28,28,May,28.0,66
Carlingwark Loch,54,54,66,66,92,92,34.0,34.0,72,72,54,54,66,66,92,92,34.0,34.0,72,72,Sep,64.0,65
Lochwinnoch (Aird and Barr and Castle Semple),14,14,13,13,38,38,37.0,37.0,33,33,14,14,13,13,38,38,37.0,37.0,33,33,Apr,27.0,65
Loch Scarmclate,(39),(39),(52),(52),98,98,44.0,44.0,61,61,(39),(39),(52),(52),98,98,44.0,44.0,61,61,Jan,68.0,64
Attenborough Gravel Pits,36,36,49,49,51,51,63.0,63.0,nan,nan,36,36,49,49,51,51,63.0,63.0,nan,nan,nan,50.0,63
Dorchester Gravel Pits,83,83,147,147,98,98,123.0,123.0,58,58,83,83,147,147,98,98,123.0,123.0,58,58,Oct,102.0,63
Milton Loch (Dumfries and Galloway),71,71,110,110,(100),(100),82.0,82.0,50,50,71,71,110,110,(100),(100),82.0,82.0,50,50,Oct,83.0,63
Pevensey Levels,(80),(80),(100),(100),(120),(120),(73),(73),51,51,(80),(80),(100),(100),(120),(120),(73),(73),51,51,Feb,85.0,63
Wotton Underwood Lakes,21,21,26,26,18,18,10,10,29,29,21,21,26,26,18,18,10,10,29,29,Nov,21.0,63
Blagdon Lake,42,42,46,46,36,36,45,45,18,18,42,42,46,46,36,36,45,45,18,18,Jun,37.0,62
Brasside Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62
Cameron Reservoir,42,42,10,10,33,33,84,84,28,28,42,42,10,10,33,33,84,84,28,28,Jan,39.0,62
Angle Park Loch (Birns Farm Gravel Pit),nan,nan,nan,nan,nan,nan,5,5,9,9,nan,nan,nan,nan,nan,nan,5,5,9,9,Dec,7.0,61
Hamford Water,30,30,44,44,32,32,51,51,73,73,30,30,44,44,32,32,51,51,73,73,Mar,46.0,61
Mersey Estuary,27,27,14,14,29,29,61,61,47,47,27,27,14,14,29,29,61,61,47,47,Feb,36.0,61
River Test - Leckford,77,77,85,85,22,22,81,81,24,24,77,77,85,85,22,22,81,81,24,24,Dec,58.0,61
Gartmorn Dam,16,16,18,18,34,34,23,23,18,18,16,16,18,18,34,34,23,23,18,18,Oct,22.0,60
River Severn and River Vyrnwy Confluence,36,36,30,30,37,37,27,27,(24),(24),36,36,30,30,37,37,27,27,(24),(24),Jan,33.0,60
River Stour - Whitemill to Shapwick,41,41,66,66,44,44,56,56,51,51,41,41,66,66,44,44,56,56,51,51,Oct,52.0,60
Watermead Country Park South,100,100,112,112,148,148,200,200,155,155,100,100,112,112,148,148,200,200,155,155,Sep,143.0,60
Loch of Tankerness,8,8,22,22,13,13,16,16,25,25,8,8,22,22,13,13,16,16,25,25,Jun,17.0,59
Newport Pagnell Gravel Pits,21,21,13,13,11,11,16,16,32,32,21,21,13,13,11,11,16,16,32,32,Jan,19.0,59
The Wash,40,40,39,39,48,48,55,55,45,45,40,40,39,39,48,48,55,55,45,45,Nov,45.0,59
Tring Reservoirs,310,310,342,342,306,306,282,282,447,447,310,310,342,342,306,306,282,282,447,447,Nov,337.0,59
Loch Gelly,nan,nan,29,29,64,64,22,22,41,41,nan,nan,29,29,64,64,22,22,41,41,Jul,39.0,58
Pennington Flash,54,54,60,60,(38),(38),47,47,36,36,54,54,60,60,(38),(38),47,47,36,36,Sep,49.0,58
River Glen - Pinchbeck to Guthram Gowt,69,69,65,65,84,84,46,46,nan,nan,69,69,65,65,84,84,46,46,nan,nan,nan,66.0,58
Upper Quoile River,50,50,88,88,32,32,117,117,71,71,50,50,88,88,32,32,117,117,71,71,Oct,72.0,58
Wanlip North Lakes,15,15,30,30,nan,nan,nan,nan,nan,nan,15,15,30,30,nan,nan,nan,nan,nan,nan,nan,23.0,58
Whisby and North Hykeham Gravel Pits,11,11,94,94,(46),(46),6,6,17,17,11,11,94,94,(46),(46),6,6,17,17,Oct,35.0,58
Burry Inlet,19,19,12,12,30,30,28,28,27,27,19,19,12,12,30,30,28,28,27,27,Nov,23.0,56
Coate Water,8,8,8,8,nan,nan,nan,nan,21,21,8,8,8,8,nan,nan,nan,nan,21,21,Mar,12.0,56
Maxey Pits,7,7,6,6,8,8,15,15,17,17,7,7,6,6,8,8,15,15,17,17,Feb,11.0,56
River Idle Washlands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56
Blackwater Estuary,164,164,136,136,194,194,157,157,31,31,164,164,136,136,194,194,157,157,31,31,Sep,136.0,55
Fal Complex,50,50,(26),(26),56,56,16,16,41,41,50,50,(26),(26),56,56,16,16,41,41,Dec,41.0,55
Knightswood Park,103,103,71,71,73,73,45,45,33,33,103,103,71,71,73,73,45,45,33,33,Mar,65.0,55
Lackford Lakes Nature Reserve,nan,nan,nan,nan,nan,nan,22,22,22,22,nan,nan,nan,nan,nan,nan,22,22,22,22,Nov,22.0,55
Tywi Floodplain,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55
WWT Caerlaverock (Inland),33,33,38,38,40.0,40.0,52,52,69,69,33,33,38,38,40.0,40.0,52,52,69,69,Jan,46.0,55
Wraysbury Gravel Pits,169,169,164,164,6.0,6.0,2,2,2,2,169,169,164,164,6.0,6.0,2,2,2,2,Oct,69.0,55
Cheddar Reservoir,24,24,7,7,0.0,0.0,43,43,22,22,24,24,7,7,0.0,0.0,43,43,22,22,Oct,19.0,54
Hamilton Low Parks and Strathclyde Park,95,95,153,153,124.0,124.0,116,116,133,133,95,95,153,153,124.0,124.0,116,116,133,133,Jan,124.0,54
Kinnaird Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54
Loch Ore,32,32,72,72,32.0,32.0,40,40,15,15,32,32,72,72,32.0,32.0,40,40,15,15,Dec,38.0,54
River Usk - Llanllowell to Newbridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54
Stanford Reservoir,77,77,29,29,55.0,55.0,56,56,30,30,77,77,29,29,55.0,55.0,56,56,30,30,Jul,49.0,54
Belvide Reservoir,7,7,55,55,63.0,63.0,2,2,nan,nan,7,7,55,55,63.0,63.0,2,2,nan,nan,nan,32.0,53
Castle Marshes Reserve,nan,nan,nan,nan,nan,nan,16,16,15,15,nan,nan,nan,nan,nan,nan,16,16,15,15,Jan,16.0,53
Doon Estuary,(97),(97),nan,nan,nan,nan,nan,nan,nan,nan,(97),(97),nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,53
Loch Flemington,10,10,2,2,3.0,3.0,6,6,6,6,10,10,2,2,3.0,3.0,6,6,6,6,Oct,5.0,53
St Bees Head to Mawbray,0,0,0,0,nan,nan,(0),(0),6,6,0,0,0,0,nan,nan,(0),(0),6,6,Jul,2.0,53
Bow Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52
Collingham Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52
Loch of Clumly,7,7,(10),(10),21.0,21.0,35,35,8,8,7,7,(10),(10),21.0,21.0,35,35,8,8,Mar,18.0,52
Martham Broad,nan,nan,nan,nan,nan,nan,nan,nan,23,23,nan,nan,nan,nan,nan,nan,nan,nan,23,23,Sep,23.0,52
Besthorpe and Girton Gravel Pits and Fleet,36,36,51,51,8.0,8.0,34,34,5,5,36,36,51,51,8.0,8.0,34,34,5,5,Jun,27.0,51
Lanark Loch,17,17,31,31,170.0,170.0,105,105,88,88,17,17,31,31,170.0,170.0,105,105,88,88,Aug,82.0,51
Orwell Estuary,69,69,117,117,136.0,136.0,167Standard visit under the WeBS Low Tide Count SurveyWeBS,167Standard visit under the WeBS Low Tide Count SurveyWeBS,130Standard visit under the WeBS Low Tide Count SurveyWeBS,130Standard visit under the WeBS Low Tide Count SurveyWeBS,69,69,117,117,136.0,136.0,167Standard visit under the WeBS Low Tide Count SurveyWeBS,167Standard visit under the WeBS Low Tide Count SurveyWeBS,130Standard visit under the WeBS Low Tide Count SurveyWeBS,130Standard visit under the WeBS Low Tide Count SurveyWeBS,Feb,124.0,51
River Cam - Owlstone Road to Baits Bite Lock,28,28,28,28,21.0,21.0,28,28,33,33,28,28,28,28,21.0,21.0,28,28,33,33,Oct,28.0,51
Arran,25,25,32,32,53.0,53.0,(71),(71),46,46,25,25,32,32,53.0,53.0,(71),(71),46,46,Dec,45.0,50
Cosmeston Lakes,79,79,104,104,74.0,74.0,81,81,79,79,79,79,104,104,74.0,74.0,81,81,79,79,Mar,83.0,50
Loch Ryan,17,17,18,18,40.0,40.0,(38),(38),63Supplementary visit under the WeBS Core Count SurveyWeBS,63Supplementary visit under the WeBS Core Count SurveyWeBS,17,17,18,18,40.0,40.0,(38),(38),63Supplementary visit under the WeBS Core Count SurveyWeBS,63Supplementary visit under the WeBS Core Count SurveyWeBS,Oct,35.0,50
Pagham Harbour,23,23,20,20,40.0,40.0,24,24,35,35,23,23,20,20,40.0,40.0,24,24,35,35,Sep,28.0,50
River Devon - Tullibody Bridge to A907,nan,nan,21,21,14.0,14.0,28,28,29,29,nan,nan,21,21,14.0,14.0,28,28,29,29,Dec,23.0,50
Tattershall Pits,27,27,32,32,67.0,67.0,17,17,24,24,27,27,32,32,67.0,67.0,17,17,24,24,Nov,33.0,50
Thoresby Lake,34,34,27,27,27.0,27.0,nan,nan,nan,nan,34,34,27,27,27.0,27.0,nan,nan,nan,nan,nan,29.0,50
Twyford Gravel Pits,25,25,33,33,nan,nan,24,24,57,57,25,25,33,33,nan,nan,24,24,57,57,Oct,35.0,50
Barton Pits and Catholme,85,85,66,66,126,126,52,52,51,51,85,85,66,66,126,126,52,52,51,51,Jul,76.0,49
Blatherwyke Lake,1,1,2,2,4,4,26,26,29,29,1,1,2,2,4,4,26,26,29,29,Nov,12.0,49
Broom Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49
Hereford Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49
Loch Stilligary (South Uist),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49
Lough Foyle,115,115,115,115,98,98,101,101,77,77,115,115,115,115,98,98,101,101,77,77,Mar,101.0,49
River Tweed - A1 Bypass to Horncliffe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48
Scorton Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48
Wimbledon Park Lake,5,5,8,8,5,5,6,6,6,6,5,5,8,8,5,5,6,6,6,6,Jul,6.0,48
Bainton Pits,55,55,50,50,17,17,30,30,63,63,55,55,50,50,17,17,30,30,63,63,Oct,43.0,47
Dunham Pools,13,13,53,53,21,21,nan,nan,nan,nan,13,13,53,53,21,21,nan,nan,nan,nan,nan,29.0,47
Fordoun Loch,59,59,107,107,5,5,107,107,16,16,59,59,107,107,5,5,107,107,16,16,Feb,59.0,47
Lindisfarne,(29),(29),(21),(21),(40),(40),28,28,(27),(27),(29),(29),(21),(21),(40),(40),28,28,(27),(27),Feb,32.0,47
Linlithgow Loch,75,75,(109),(109),131,131,124,124,143,143,75,75,(109),(109),131,131,124,124,143,143,Feb,118.0,47
River Thames - Lechlade,55,55,39,39,23,23,26,26,44,44,55,55,39,39,23,23,26,26,44,44,Sep,37.0,47
Wellington Gravel Pits,18,18,18,18,54,54,nan,nan,31,31,18,18,18,18,54,54,nan,nan,31,31,Nov,30.0,47
Wooden Loch,2,2,4,4,2,2,5,5,2,2,2,2,4,4,2,2,5,5,2,2,Sep,3.0,47
Barnby Broad and Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46
Beesands Ley,3,3,2,2,2,2,2,2,(2),(2),3,3,2,2,2,2,2,2,(2),(2),Sep,2.0,46
Camel Estuary,(22),(22),42,42,32,32,44,44,(57),(57),(22),(22),42,42,32,32,44,44,(57),(57),Jun,44.0,46
Canoe Lake,62,62,108,108,78,78,nan,nan,nan,nan,62,62,108,108,78,78,nan,nan,nan,nan,nan,83.0,46
Letham Flood,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46
RSPB Langford Lowfields,11,11,8,8,11,11,7,7,4,4,11,11,8,8,11,11,7,7,4,4,Mar,8.0,46
River Stour - Shapwick to Spetisbury,26,26,53,53,43,43,59,59,21,21,26,26,53,53,43,43,59,59,21,21,Oct,40.0,46
River Wye - Castleton,43,43,76,76,93,93,33,33,62,62,43,43,76,76,93,93,33,33,62,62,Jan,61.0,46
St Margaret's Loch,85,85,(72),(72),71Supplementary visit under the WeBS Core Count SurveyWeBS,71Supplementary visit under the WeBS Core Count SurveyWeBS,73,73,58,58,85,85,(72),(72),71Supplementary visit under the WeBS Core Count SurveyWeBS,71Supplementary visit under the WeBS Core Count SurveyWeBS,73,73,58,58,Jan,72.0,46
The Wilderness - Ladybank,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46
Caldecotte Gravel Pits,33,33,52,52,48,48,60,60,49,49,33,33,52,52,48,48,60,60,49,49,Dec,48.0,45
Grafham Water,58,58,68,68,38,38,(81),(81),181,181,58,58,68,68,38,38,(81),(81),181,181,Sep,86.0,45
River Witham - Chapel Hill to Kirkstead,40,40,40,40,27,27,14,14,12,12,40,40,40,40,27,27,14,14,12,12,Jun,27.0,45
Roundhay Park Leeds,(0),(0),7,7,(3),(3),5,5,7,7,(0),(0),7,7,(3),(3),5,5,7,7,Jan,6.0,45
Whisby Nature Reserve,8,8,10,10,6,6,6,6,14,14,8,8,10,10,6,6,6,6,14,14,Oct,9.0,45
Caistron Quarry,nan,nan,nan,nan,28,28,54,54,71,71,nan,nan,nan,nan,28,28,54,54,71,71,Jun,51.0,44
Doddington Pool,86,86,84,84,62,62,56,56,65,65,86,86,84,84,62,62,56,56,65,65,Jul,71.0,44
Henfield Brooks,(57),(57),86,86,77,77,63,63,73,73,(57),(57),86,86,77,77,63,63,73,73,Feb,75.0,44
Ruislip Lido,nan,nan,29,29,42,42,nan,nan,nan,nan,nan,nan,29,29,42,42,nan,nan,nan,nan,nan,36.0,44
Eastbourne Park Lakes,132,132,84,84,111,111,58,58,31,31,132,132,84,84,111,111,58,58,31,31,Mar,83.0,43
Grimley New Workings,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43
Loch Watten,53,53,57,57,11,11,50,50,69,69,53,53,57,57,11,11,50,50,69,69,Oct,48.0,43
Minsmere,33,33,11,11,59,59,26,26,(26),(26),33,33,11,11,59,59,26,26,(26),(26),Aug,32.0,43
Thorpe Water Park,(49),(49),(85),(85),(44),(44),(24),(24),(55),(55),(49),(49),(85),(85),(44),(44),(24),(24),(55),(55),Sep,51.0,43
Castle Island (Ashington),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42
Combermere,1,1,11,11,26,26,9,9,6,6,1,1,11,11,26,26,9,9,6,6,Nov,11.0,42
Kercock Farm Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42
Peerie Sea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42
Whitehaven Harbour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42
Ythan Estuary,17,17,9,9,48,48,49,49,32,32,17,17,9,9,48,48,49,49,32,32,Apr,31.0,42
Aston On Trent Gravel Pits,nan,nan,10,10,21,21,nan,nan,nan,nan,nan,nan,10,10,21,21,nan,nan,nan,nan,nan,16.0,41
Brookvale Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41
Burghfield Gravel Pits,122,122,50,50,nan,nan,nan,nan,40,40,122,122,50,50,nan,nan,nan,nan,40,40,Oct,71.0,41
Duddingston Loch,10,10,(17),(17),8Supplementary visit under the WeBS Core Count SurveyWeBS,8Supplementary visit under the WeBS Core Count SurveyWeBS,25,25,19,19,10,10,(17),(17),8Supplementary visit under the WeBS Core Count SurveyWeBS,8Supplementary visit under the WeBS Core Count SurveyWeBS,25,25,19,19,Jan,16.0,41
King George V Reservoirs,22,22,18,18,12,12,15,15,20,20,22,22,18,18,12,12,15,15,20,20,Sep,17.0,41
Long Eaton Gravel Pits,6,6,3,3,10,10,4,4,8,8,6,6,3,3,10,10,4,4,8,8,Mar,6.0,41
Teign Estuary,12,12,24,24,2,2,5,5,13,13,12,12,24,24,2,2,5,5,13,13,Sep,11.0,41
Woolston Eyes,40,40,(19),(19),33,33,19,19,25,25,40,40,(19),(19),33,33,19,19,25,25,Jan,29.0,41
Barton Broad,nan,nan,6,6,11,11,13,13,18,18,nan,nan,6,6,11,11,13,13,18,18,Dec,12.0,40
Big Waters,nan,nan,nan,nan,7,7,22,22,12,12,nan,nan,nan,nan,7,7,22,22,12,12,Jul,14.0,40
Bolton-on-Swale Gravel Pits,11,11,10,10,5,5,18,18,25,25,11,11,10,10,5,5,18,18,25,25,Aug,14.0,40
Fenstanton GP,18,18,22,22,52,52,9,9,nan,nan,18,18,22,22,52,52,9,9,nan,nan,nan,25.0,40
Hirsel Lake,12.0,12.0,45,45,84.0,84.0,nan,nan,nan,nan,12.0,12.0,45,45,84.0,84.0,nan,nan,nan,nan,nan,47.0,40
Inner Moray and Beauly Firths,50.0,50.0,72,72,43.0,43.0,66,66,76Standard visit under the WeBS Low Tide Count SurveyWeBS,76Standard visit under the WeBS Low Tide Count SurveyWeBS,50.0,50.0,72,72,43.0,43.0,66,66,76Standard visit under the WeBS Low Tide Count SurveyWeBS,76Standard visit under the WeBS Low Tide Count SurveyWeBS,Feb,61.0,40
Leventhorpe Ash Ponds and Flood Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40
Richmond Park Ponds,43.0,43.0,41,41,28.0,28.0,41,41,49,49,43.0,43.0,41,41,28.0,28.0,41,41,49,49,Feb,40.0,40
River Thame,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40
Sonning Eye and Henley Road GPs,97.0,97.0,12,12,30.0,30.0,39,39,10,10,97.0,97.0,12,12,30.0,30.0,39,39,10,10,Dec,38.0,40
Cound Fishery,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39
Dinton Pastures,45.0,45.0,92,92,nan,nan,85,85,50,50,45.0,45.0,92,92,nan,nan,85,85,50,50,Jan,68.0,39
Drakelow Gravel Pit,17.0,17.0,29,29,13.0,13.0,17,17,17,17,17.0,17.0,29,29,13.0,13.0,17,17,17,17,Mar,19.0,39
Emberton Gravel Pits,11.0,11.0,13,13,11.0,11.0,26,26,18,18,11.0,11.0,13,13,11.0,11.0,26,26,18,18,Feb,16.0,39
Frimley Gravel Pits,45.0,45.0,nan,nan,49.0,49.0,46,46,37,37,45.0,45.0,nan,nan,49.0,49.0,46,46,37,37,Nov,44.0,39
Loch a' Phuill (Tiree),61.0,61.0,60,60,76.0,76.0,38,38,38,38,61.0,61.0,60,60,76.0,76.0,38,38,38,38,Oct,55.0,39
Ornokenoch Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39
Seamer Road Mere,4.0,4.0,3,3,4.0,4.0,10,10,13,13,4.0,4.0,3,3,4.0,4.0,10,10,13,13,Nov,7.0,39
Carlton and Oulton Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38
Carsington Water,14.0,14.0,27,27,nan,nan,30,30,37,37,14.0,14.0,27,27,nan,nan,30,30,37,37,Sep,27.0,38
Cotswold Water Park (Central),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38
Glaslyn Marshes,33.0,33.0,36,36,37.0,37.0,28,28,48,48,33.0,33.0,36,36,37.0,37.0,28,28,48,48,Nov,36.0,38
Langtoft West End Gravel Pits,13.0,13.0,(19),(19),47.0,47.0,(28),(28),65,65,13.0,13.0,(19),(19),47.0,47.0,(28),(28),65,65,Nov,42.0,38
Ormsgill Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38
River Ely: Leckwith to Penarth Road,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38
Rother Valley Country Park,46.0,46.0,36,36,53.0,53.0,(43),(43),65,65,46.0,46.0,36,36,53.0,53.0,(43),(43),65,65,Sep,50.0,38
Bardney Pit,5.0,5.0,4,4,2.0,2.0,2,2,2,2,5.0,5.0,4,4,2.0,2.0,2,2,2,2,Mar,3.0,37
Begny Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37
Dee Estuary (English counties),76.0,76.0,107,107,125.0,125.0,90,90,98,98,76.0,76.0,107,107,125.0,125.0,90,90,98,98,Feb,99.0,37
Metheringham Delph,6.0,6.0,14,14,11.0,11.0,(20),(20),12,12,6.0,6.0,14,14,11.0,11.0,(20),(20),12,12,Aug,13.0,37
River Avon - Longford Castle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37
Stanley Park Lakes,nan,nan,nan,nan,nan,nan,nan,nan,7,7,nan,nan,nan,nan,nan,nan,nan,nan,7,7,Mar,7.0,37
Tophill Low Reservoirs,27.0,27.0,20,20,16.0,16.0,61,61,102,102,27.0,27.0,20,20,16.0,16.0,61,61,102,102,Dec,45.0,37
Allerton Bywater,23.0,23.0,15,15,51.0,51.0,39,39,54,54,23.0,23.0,15,15,51.0,51.0,39,39,54,54,Sep,36.0,36
Burwell Fen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36
Climping,31,31,(51),(51),34,34,86,86,114.0,114.0,31,31,(51),(51),34,34,86,86,114.0,114.0,Sep,66.0,36
Earlswood Lakes (Surrey),10,10,nan,nan,nan,nan,22,22,26.0,26.0,10,10,nan,nan,nan,nan,22,22,26.0,26.0,Feb,19.0,36
Hampton and Kempton Reservoirs,24,24,24,24,15,15,26,26,18.0,18.0,24,24,24,24,15,15,26,26,18.0,18.0,Oct,21.0,36
Kilvington Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36
Kinnordy Loch,(27),(27),36,36,nan,nan,33,33,46.0,46.0,(27),(27),36,36,nan,nan,33,33,46.0,46.0,Feb,38.0,36
Loch Lomond,109,109,41,41,12,12,(12),(12),35.0,35.0,109,109,41,41,12,12,(12),(12),35.0,35.0,Sep,49.0,36
Lough Aghery,59,59,(54),(54),31,31,41,41,22.0,22.0,59,59,(54),(54),31,31,41,41,22.0,22.0,Feb,41.0,36
Neumann's and Ashton's Flashes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36
Orgreave,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36
Theale Gravel Pits,38,38,24,24,nan,nan,23,23,41.0,41.0,38,38,24,24,nan,nan,23,23,41.0,41.0,Dec,32.0,36
Thurstonfield Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36
Tyninghame Estuary,62,62,76,76,83,83,49,49,38.0,38.0,62,62,76,76,83,83,49,49,38.0,38.0,May,62.0,36
Chilham and Chartham Gravel Pits,69,69,107,107,63,63,42,42,49.0,49.0,69,69,107,107,63,63,42,42,49.0,49.0,Dec,66.0,35
Hay-a-Park Gravel Pits,nan,nan,18,18,(46),(46),13,13,16.0,16.0,nan,nan,18,18,(46),(46),13,13,16.0,16.0,Nov,23.0,35
Potteric Carr,nan,nan,7,7,11,11,8,8,9.0,9.0,nan,nan,7,7,11,11,8,8,9.0,9.0,Dec,9.0,35
Pugneys Country Park Lakes,48,48,64,64,68,68,47,47,78.0,78.0,48,48,64,64,68,68,47,47,78.0,78.0,Jul,61.0,35
Ramsbury Lake,41,41,35,35,45,45,65,65,61.0,61.0,41,41,35,35,45,45,65,65,61.0,61.0,Jan,49.0,35
River Lune - Hornby and Wenning Foot to Arkholme,13,13,8,8,2,2,nan,nan,nan,nan,13,13,8,8,2,2,nan,nan,nan,nan,nan,8.0,35
Siddick Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35
Cam Washes (Upware),21,21,18,18,9,9,21,21,10.0,10.0,21,21,18,18,9,9,21,21,10.0,10.0,Sep,16.0,34
Clatto Reservoir,16,16,23,23,21,21,22,22,9.0,9.0,16,16,23,23,21,21,22,22,9.0,9.0,Jan,18.0,34
Harewood Lake,2,2,2,2,6,6,5,5,3.0,3.0,2,2,2,2,6,6,5,5,3.0,3.0,Sep,4.0,34
Hilgay Fen NWTR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34
