Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
River Lune - Arkholme to Whittington,nan,nan,nan,0.0,6.0,48.0,59.0,7.0,42.0,nan,nan,8,9.0,0.0,5.0,2,30.0,20.0,2.0,7.0,13,nan,nan,48,0,nan,nan,nan,nan,nan,nan,nan,nan,16,9,23,12,14,7,15,Mar,14,14,8,2019-11-29 10:12:50
St Bees Head to Mawbray,nan,nan,nan,nan,nan,nan,nan,nan,nan,(9),nan,(13),3.0,3.0,34.0,2,4.0,8.0,2.0,16.0,7,2,nan,13,46,19.0,12,5.0,15,6,13.0,8,17,23,9,9,4,2,28,26,Apr,14,14,8,2019-11-29 10:12:50
Staines Reservoirs,6.0,2.0,1.0,2.0,8.0,7.0,11.0,9.0,3.0,10,2.0,8,3.0,3.0,4.0,39,12.0,10.0,15.0,21.0,(44),29,2,6,10,12.0,14,5.0,7,3,3.0,6,4,8,6,6,18,12,24,12,Jun,14,14,8,2019-11-29 10:12:50
Stoney Beck Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,2.0,0,0,0.0,25,0,16,12,12,4,24,22,10,Mar,14,14,8,2019-11-29 10:12:50
Alton Water,nan,nan,nan,nan,nan,nan,0.0,10.0,5.0,29,nan,31,2.0,29.0,28.0,27,30.0,16.0,17.0,32.0,36,16,4,9,8,5.0,3,7.0,13,9,18.0,17,18,13,19,16,9,9,20,10,Apr,13,13,8,2019-11-29 10:12:50
Combermere,0.0,0.0,0.0,1.0,2.0,3.0,4.0,nan,4.0,4,11.0,6,5.0,4.0,9.0,15,16.0,6.0,11.0,16.0,9,8,0,8,11,4.0,16,0.0,nan,25,13.0,15,21,16,16,18,6,12,14,15,May,13,13,8,2019-11-29 10:12:50
Coquet Estuary,nan,nan,nan,0.0,26.0,0.0,0.0,0.0,0.0,19,40.0,26,17.0,21.0,51.0,(28),42.0,24.0,31.0,17.0,14,31,8,27,25,6.0,14,1.0,13,8,8.0,9,10,24,16,8,28,0,14,14,Mar,13,13,8,2019-11-29 10:12:50
Dearne Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18,12,11,15,19,14,5,Oct,13,13,8,2019-11-29 10:12:50
Druridge Pool,nan,nan,nan,nan,nan,nan,nan,nan,2.0,3,0.0,5,4.0,13.0,nan,10,11.0,3.0,nan,nan,nan,nan,5,14,(14),9.0,6,0.0,2,14,0.0,3,7,4,2,12,9,8,17,19,May,13,13,8,2019-11-29 10:12:50
Grafham Water,8.0,17.0,24.0,10.0,32.0,19.0,35.0,15.0,16.0,35,30.0,16,21.0,19.0,16.0,12,18.0,11.0,30.0,38.0,60,51,15,34,17,8.0,16,23.0,27,27,25.0,26,35,16,20,16,17,19,7,7,Mar,13,13,8,2019-11-29 10:12:50
Lackford Lakes Nature Reserve,nan,nan,nan,nan,nan,nan,2.0,7.0,9.0,nan,nan,nan,nan,21.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan,24,28,12.0,10,11.0,9,14,9.0,9,11,10,15,11,13,16,16,9,Jan,13,13,8,2019-11-29 10:12:50
Lindskeldfield Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,(2),0.0,4,(2),2.0,(2),(1),(8),(2),(4),(13),(3),(3),(2),Apr,5,5,8,2019-11-29 10:12:50
Loch Gruinart Floods,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0,0,nan,5,14.0,5,12.0,9,3,4.0,6,2,2,5,9,4,49,4,0,nan,13,13,8,2019-11-29 10:12:50
Pawlett Hams,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,nan,nan,nan,9.0,nan,nan,nan,nan,nan,nan,24,1,nan,nan,13,13,8,2019-11-29 10:12:50
Ripon Race Course Gravel Pit,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,9,16.0,8,4,1.0,4,4,4,2,6,10,14,14,22,Feb,13,13,8,2019-11-29 10:12:50
Sutton North Fen Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18Supplementary visit under the WeBS Core Count SurveyWeBS,31Supplementary visit under the WeBS Core Count SurveyWeBS,0,nan,4,Mar,13,13,8,2019-11-29 10:12:50
Swillington Ings,nan,3.0,0.0,nan,nan,5.0,0.0,nan,2.0,nan,4.0,3,nan,12.0,17.0,12,11.0,13.0,23.0,19.0,10,7,7,9,16,8.0,30,15.0,9,4,6.0,2,10,11,19,14,4,24,5,16,Mar,13,13,8,2019-11-29 10:12:50
Bawsey Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23,10,5,11,13,15,9,nan,nan,12,12,8,2019-11-29 10:12:50
Collingham Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,6,16,6,6,24,15,8,9,5,Mar,12,12,8,2019-11-29 10:12:50
Cuckmere Estuary,53.0,24.0,51.0,29.0,38.0,31.0,22.0,58.0,53.0,29,22.0,13,23.0,10.0,27.0,15,20.0,36.0,23.0,19.0,7,16,22,22,25,18.0,16,31.0,22,15,18.0,6,(18),4,30,15,15,8,6,15,Jan,12,12,8,2019-11-29 10:12:50
Hauxley Nature Reserve,nan,nan,nan,nan,0.0,nan,nan,nan,7.0,18,18.0,10,22.0,24.0,nan,49,9.0,22.0,nan,nan,nan,nan,61,67,34,24.0,22,20.0,17,22,13.0,18,17,13,10,6,10,16,9,17,Apr,12,12,8,2019-11-29 10:12:50
Kings Quay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,10.0,12.0,5,Feb,12,12,9,2019-11-29 10:13:11
Lunt Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12,37,6.0,13.0,4.0,0,nan,12,12,9,2019-11-29 10:13:11
Montrose to St Cyrus,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.0,12,14,13.0,11.0,nan,9,Jun,12,12,9,2019-11-29 10:13:11
