Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Milton Mount Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,2.0,0.0,nan,1,1,2,2019-11-29 10:42:43
North Hykeham Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,(0),(1),1.0,(1),1.0,1,1.0,1,(1),(0),0.0,nan,nan,1,1,2,2019-11-29 10:42:43
Par Sands Pools and St Andrews Road,nan,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,20.0,6.0,8.0,6.0,4.0,0,0,0.0,0,0.0,1,1.0,1,1,0,nan,1.0,Jan,1,1,2,2019-11-29 10:42:43
Redesmere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,nan,0,0.0,1,0.0,0,1.0,(1),nan,nan,nan,nan,nan,1,1,2,2019-11-29 10:42:43
River Derwent - Darley Abbey to Derby River Gardens,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,1,nan,nan,nan,nan,1,1,2,2019-11-29 10:42:43
Sea Bank (Huttoft) Clay Pits,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,0,0.0,0,1,2,0.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Shakerley Mere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,2,2.0,2,1.0,1,1,1,1.0,1.0,Nov,1,1,2,2019-11-29 10:42:43
Stithians Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,(0),0.0,0,0.0,0,1,0,4.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Sutton Coldfield Park Pools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,1.0,Jul,1,1,2,2019-11-29 10:42:43
Taf Bargoed Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,1.0,4.0,Apr,1,1,2,2019-11-29 10:42:43
Abercairny Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,nan,0,0,2,2019-11-29 10:42:43
Abram Flashes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0,nan,nan,nan,(0),0.0,1,0,0,0.0,0.0,nan,0,0,2,2019-11-29 10:42:43
Airy Holm Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.0,0,0,0,0.0,0.0,nan,0,0,2,2019-11-29 10:42:43
Aldenham Reservoir,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,0.0,0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1.0,1,0,0.0,0,nan,0,0.0,(0),nan,nan,nan,nan,nan,0,0,2,2019-11-29 10:42:43
Allestree Park Lakes,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,nan,nan,nan,0,0,0,0,0.0,nan,nan,nan,0,2,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Argal Reservoir,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,2,0,1,1,1,1,1,0,0.0,0,0,0.0,0,0,0.0,0,nan,nan,nan,nan,nan,0,0,3,2019-11-29 10:43:05
Argal and College Reservoirs,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,2,1,1,1,1,1,1,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Arun Valley,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Aston On Trent Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,1,0,nan,nan,0,0,0,nan,nan,nan,nan,0,0,0.0,nan,nan,0,0,nan,nan,0,0,3,2019-11-29 10:43:05
Avington Lake,(0),0.0,(0),(0),nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,(1),0,0,nan,0,0,3,2019-11-29 10:43:05
Avon Estuary (Devon),0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(0),0.0,0.0,0.0,0,0,0,0,0.0,(0),0,0,(0),0,0,0,0,0.0,0,0,2.0,0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Baffins Pond,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,2.0,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Balgone Ponds,nan,nan,0,0,0.0,0.0,0.0,nan,0.0,0.0,nan,0,0.0,0.0,0.0,0,0,0,0,0.0,(0),(0),(0),(0),(0),(0),(0),0,0.0,6,0,0.0,(0),0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Barton Pits and Catholme,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,(0),0,0.0,0,0.0,nan,nan,nan,nan,0,0,3,2019-11-29 10:43:05
Bassenthwaite Lake,0,0.0,0,0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,(0),(1),3.0,0,(0),5,(0),0,0,(0),0,0.0,0,0,0.0,0,(0),0.0,0,0.0,0,(0),(0),nan,0,0,3,2019-11-29 10:43:05
Bathingbourne Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Benbow Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0,0,3,2019-11-29 10:43:05
Birkacre Pond On Yarrow,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0,0.0,0,0.0,1,1,0,nan,0,0,3,2019-11-29 10:43:05
Blackleach Reservoir,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,0,nan,0,0,0.0,0,1,0,0,0,nan,0,nan,0.0,0,0,0.0,0,0,0.0,nan,nan,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Blagdon Lake,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0.0,0,(0),0.0,0,0,0.0,1,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Blairdrummond Safari Park Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0,10,6,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-29 10:43:05
Bothal Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.0,nan,0,nan,0,0,0.0,0,0.0,1,0,0,nan,0,0,3,2019-11-29 10:43:05
