Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Blackbrook Reservoir,nan,nan,nan,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Blackleach Reservoir,0,0,0,0,0,nan,0,nan,0,0.0,0,0.0,0,0.0,0.0,nan,nan,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Blackmoorfoot Reservoir,0,0,0,0,0,0,0,5,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Blackwater Estuary,38,80,(106),152,53,69,71,39,56,15.0,17,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Blatherwyke Lake,1,2,3Supplementary visit under the WeBS Core Count SurveyWeBS,1,1,nan,0,0,(0),0.0,0,0.0,(0),0.0,0.0,0.0,0.0,0,(0),0,nan,0,0,4,2019-11-22 03:20:32
Bleak Hills Dam,nan,nan,nan,nan,nan,nan,nan,(0),0,0.0,(0),0.0,(0),0.0,0.0,0.0,nan,nan,nan,nan,nan,0,0,4,2019-11-22 03:20:32
Blenheim Park Lake,0,0,0,0,0,0,0,0,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,4,2019-11-22 03:20:32
Blickling Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,4,2019-11-22 03:20:32
Blithfield Reservoir,462,449,600Ruddy Duck supplementary countsWWT/CSL,265,187,180Ruddy Duck supplementary countsWWT/CSL,401,59Ruddy Duck supplementary countsWWT/CSL,23Ruddy Duck supplementary countsWWT/CSL,51.0,(38),14.0,3,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Blunham Gravel Pit,0,0,0,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0,0,4,2019-11-22 03:20:32
Boddington Reservoirs,4,0,(1),(0),0,0,(0),4,(1),0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Bodenham Gravel Pit,0,1,0,0,2,0,0,nan,(0),0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Bolam Lake,nan,nan,0,1,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,(0),nan,0,0,4,2019-11-22 03:20:32
Boldermere Wisley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,0,0.0,0.0,0.0,0.0,0,0,nan,nan,0,0,4,2019-11-22 03:20:32
Bolton-on-Swale Gravel Pits,57,66,79,97,108,118Ruddy Duck supplementary countsWWT/CSL,55Ruddy Duck supplementary countsWWT/CSL,37,6,2.0,1,1.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Bosherston Lakes,0,(0),0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Bothal Pond,nan,nan,0,5,(2),10,5,nan,0,nan,0,nan,0,0.0,0.0,0.0,1.0,0,1,0,nan,0,0,4,2019-11-22 03:20:32
Bothwell Park Farm Pond,0,3,4,4,0,2,4,2,2,3.0,4,0.0,2,2.0,0.0,0.0,0.0,0,nan,0,nan,0,0,4,2019-11-22 03:20:32
Bough Beech Reservoir,nan,0,0,(0),0,0,0,0,1,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0,(0),0,nan,0,0,4,2019-11-22 03:20:32
Boultham Park Lake,(0),0,0,0,0,0,10,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Bourton-on-the-Water Gravel Pits,1,0,1,1,0,4,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,(0),(0),0,nan,0,0,4,2019-11-22 03:20:32
Bowood Lake,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Bowstard Loch,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,(0),0,0,nan,0,0,4,2019-11-22 03:20:32
Brackley Lake and Sheppards Pool,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Brading Harbour,0,0,0,0,0.0,0.0,0.0,(0),0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,(0),nan,0,0,5,2019-11-22 03:20:39
