Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Sound of Gigha,nan,nan,nan,nan,nan,nan,nan,nan,"101Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",nan,282SNH countsSNH Islay office,487SNH countsSNH Islay office,531SNH countsSNH Islay office,381Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,636SNH countsSNH Islay office,148,775SNH countsSNH Kirkwall office,647SNH countsSNH Kirkwall office,708SNH countsSNH Kirkwall office,nan,nan,570,570,2,2019-11-22 01:18:28
Fedderate Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,170Supplementary roost count under the WeBS Core Count SurveyWeBS,207Supplementary roost count under the WeBS Core Count SurveyWeBS,468Supplementary roost count under the WeBS Core Count SurveyWeBS,570Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,977Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,426Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,358Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Nov,560,560,2,2019-11-22 01:18:28
Luthrie Pool and flood,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,235,76,300Supplementary visit under the WeBS Core Count SurveyWeBS,"(1,630)",Dec,560,560,2,2019-11-22 01:18:28
Rivers Eamont and Eden - Honeypot to Edenhall,1344.0,1300,(920),nan,"(1,400)",100,351,106,2,165,38,36,219,400,524,600,411,(500),556,620,Dec,547,547,2,2019-11-22 01:18:28
The Wilderness - Ladybank,nan,nan,nan,nan,nan,nan,nan,nan,7,2,0,65Supplementary visit under the WeBS Core Count SurveyWeBS,362,604Supplementary visit under the WeBS Core Count SurveyWeBS,390Supplementary visit under the WeBS Core Count SurveyWeBS,110Supplementary visit under the WeBS Core Count SurveyWeBS,534Supplementary visit under the WeBS Core Count SurveyWeBS,750Supplementary visit under the WeBS Core Count SurveyWeBS,771Supplementary visit under the WeBS Core Count SurveyWeBS,552Supplementary visit under the WeBS Core Count SurveyWeBS,Oct,543,543,2,2019-11-22 01:18:28
Upper Tay,nan,376Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,189Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,022Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",943Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,197Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",181Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,385Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,105WWT/JNCC National Grey Goose Censusnull",973WWT/JNCC National Grey Goose Censusnull,766Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,217Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,423unspecified sea-watchnull,616Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,712unspecified sea-watchnull,840Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,458Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,321Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,540,540,2,2019-11-22 01:18:28
Loch Connell,0.0,0,nan,nan,nan,nan,nan,nan,nan,270Supplementary visit under the WeBS Core Count SurveyWeBS,43,"(1,036)",357,(400),275,370,666,600,214,727,Oct,515,515,2,2019-11-22 01:18:28
Inner Firth of Clyde,22.0,23Standard visit under the WeBS Low Tide Count SurveyWeBS,28,52,15,16,120,96,280,360,1198,530,992,727,295,382,488,259,620,522,Mar,454,454,2,2019-11-22 01:18:28
Strathearn (West),nan,nan,nan,nan,"1,050Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,050Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,"3,170WWT/JNCC National Grey Goose Censusnull","1,400WWT/JNCC National Grey Goose Censusnull",nan,nan,nan,nan,nan,660Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,209Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,435,435,2,2019-11-22 01:18:28
Loch Calder,nan,230,184,nan,nan,nan,nan,152,209,nan,93,nan,nan,181,720,87,632Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,448Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,636Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,330Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Nov,427,427,2,2019-11-22 01:18:28
