Site▲▼,1998▲▼,1999▲▼,2000▲▼,2001▲▼,2002▲▼,2003▲▼,2004▲▼,2005▲▼,2006▲▼,2007▲▼,2008▲▼,2009▲▼,2010▲▼,2011▲▼,2012▲▼,2013▲▼,2014▲▼,2015▲▼,2016▲▼,2017▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼
Wicken Fen,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.0,0.0,nan,0.0,0.0,nan,1,1,4,2019-11-21 13:53:34
A1 Flashes,nan,nan,nan,nan,nan,nan,nan,0.0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Abram Flashes,0.0,0,0.0,0.0,0,0.0,0.0,0.0,nan,0,0,nan,nan,(0),0,0.0,1.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Alde Estuary,0.0,4,0.0,nan,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Allerton Bywater,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Alresford Pond,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Alt Estuary,1.0,0,0.0,0.0,0,0.0,0.0,1.0,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Alton Water,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Anderby,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0.0,0.0,1.0,Jul,0,0,4,2019-11-21 13:53:34
Angle Park Loch (Birns Farm Gravel Pit),nan,nan,nan,nan,0,2.0,0.0,0.0,0,0,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Anglers Country Park Lake,0.0,1,0.0,0.0,1,0.0,0.0,1.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Aqualate Mere,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,(0),0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Arcot Pond,nan,nan,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Argal and College Reservoirs,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Arlington Reservoir,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Arnot Reservoir,0.0,0,0.0,nan,0,0.0,0.0,0.0,2,0,nan,(0),(0),0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Asten Valley Filsham,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0,0,4,2019-11-21 13:53:34
Attenborough Gravel Pits,0.0,(1),0.0,0.0,(0),0.0,0.0,0.0,0,0,0,(0),(0),(0),(0),0.0,0.0,0.0,0.0,nan,nan,0,0,4,2019-11-21 13:53:34
Audley End Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0,0,4,2019-11-21 13:53:34
Avon Estuary (Devon),0.0,1,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Balbeggie Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,2.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Balranald Nature Reserve,nan,nan,0.0,0.0,(0),0.0,0.0,0.0,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Balta Sound,nan,nan,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Bardney Pit,0.0,0,0.0,0.0,0,0.0,nan,0.0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,nan,0,0,4,2019-11-21 13:53:34
Barmston Ponds,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Baron's Haugh,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Barrow Gurney Reservoir,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Bassenthwaite Lake,0.0,0.0,0,(0),0,3.0,0,0.0,0.0,0,nan,0.0,0,0,0.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Bawsey Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Beaulieu Estuary,2.0,0.0,1,nan,0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,2.0,Apr,0,0,5,2019-11-21 13:53:39
Beckford Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Beddington Sewage Farm,1.0,0.0,2,0,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0,1,0,1.0,Jul,0,0,5,2019-11-21 13:53:39
Beesands Ley,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Besthorpe and Girton Gravel Pits and Fleet,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,nan,0,1.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Bewl Water,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0,0.0,0.0,1,0,0.0,0.0,0,(0),nan,0.0,nan,0,0,5,2019-11-21 13:53:39
Big Waters,nan,nan,nan,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Billing Gravel Pits,0.0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Birnie Loch,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Bittell Reservoirs,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0,0.0,0.0,(0),(0),0.0,0.0,0,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Black Devon Wetlands,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,2,0.0,0.0,0,0,(0),0.0,nan,0,0,5,2019-11-21 13:53:39
Blackleach Reservoir,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,nan,nan,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Blagdon Lake,0.0,1.0,0,3,0,2.0,5,1.0,0.0,0,1.0,2.0,0,3Supplementary visit under the WeBS Core Count SurveyWeBS,0.0,1.0,0,0,1,0.0,nan,0,0,5,2019-11-21 13:53:39
Blindwells,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,0.0,0.0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
Blithfield Reservoir,0.0,6.0,(0),0,0,2.0,1,nan,nan,nan,3.0,0.0,0,3,0.0,0.0,1,0,0,0.0,nan,0,0,5,2019-11-21 13:53:39
