Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Balnakiel Bay and Loch Croispol,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,nan,nan,826Supplementary visit under the WeBS Core Count SurveyWeBS,37Supplementary visit under the WeBS Core Count SurveyWeBS,0,1,0,0,0,0,(0),7,200,49,0,0,0,nan,50,50,2,2019-11-28 04:18:33
Loch Sandary (North Uist),nan,nan,nan,nan,0.0,0.0,1.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,0,nan,0,0,5,0,28,85,214,44,150,80,(200),10,0,nan,0,0,130,nan,nan,nan,43,43,2,2019-11-28 04:18:33
Loch Bee (South Uist),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,0,0,0,0,0,0,0,nan,4,0,0,0,0,(0),(53),52,Jan,26,26,2,2019-11-28 04:18:33
Badentarbat Bay (Achiltibuie),10.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,75,0,88,73,106,16,39,61,0,41,8,0,0,77,Feb,25,25,2,2019-11-28 04:18:33
Loch Innis Na Ba Buidhe,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,40,0,0,43,0,0,0,0,0,49,0,38,31,0,nan,24,24,2,2019-11-28 04:18:33
South Uist West Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,6,(60),(0),8,0,nan,nan,23,23,2,2019-11-28 04:18:33
Arran,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,0,0,nan,22,22,2,2019-11-28 04:18:33
The Ouse and Lairo Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,6,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,90,0,0,nan,18,18,2,2019-11-28 04:18:33
Island of Papa Westray,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,(0),36,15,0,0,0,14,(14),4,16,1,15,8,12,27,21,Jan,17,17,2,2019-11-28 04:18:33
Scourie Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,64,0,0,0,0,0,0,0,0,0,55,31,0,0,nan,17,17,2,2019-11-28 04:18:33
