Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Harewood Lake,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,1.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Hayle Estuary,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,(0),0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Heigham Holmes,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Hickling Broad,0.0,0.0,0.0,0,0.0,(0),0.0,0.0,0,nan,0,0.0,nan,1,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Inner Moray and Beauly Firths,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,(0),0.0,0.0,0,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
King's Bromley Gravel Pits,0.0,1.0,1.0,0,1.0,1,0.0,0.0,0,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,0,0,3,2019-11-22 02:48:30
Kinsham Pool,nan,nan,nan,nan,0.0,0,0.0,0.0,0,6.0,0,0.0,0.0,0,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Lackford Lakes Nature Reserve,nan,nan,nan,0,0,(0),0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Langford Lakes,nan,nan,nan,(0),(0),0,(0),0,(0),0,0,0,0,0.0,0,0,0,0,1,0,nan,0,0,4,2019-11-22 02:48:36
Langstone Harbour,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Lee Valley Gravel Pits,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Linton Pond Ellington,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Livermere and Ampton Water,0,0,0,0,0,1,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,(0),0,nan,0,0,4,2019-11-22 02:48:36
