Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
University of York Lake (Heslington East),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,24.0,12,18,27,Nov,20,20,2,2019-11-28 03:55:46
Dee Estuary (England and Wales),(0),0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0,4,0,0.0,0,8.0,4,1.0,1.0,1,1.0,1,4,2.0,2,7.0,8,11Standard visit under the WeBS Low Tide Count SurveyWeBS,21.0,13,17,11.0,10.0,12.0,8,18,32,Jan,16,16,2,2019-11-28 03:55:46
Orwell Estuary,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,(1),0.0,(0),1,0,0.0,3,0.0,1,0.0,7.0,0,3.0,3Standard visit under the WeBS Low Tide Count SurveyWeBS,5Standard visit under the WeBS Low Tide Count SurveyWeBS,34.0,1,1.0,1,2Standard visit under the WeBS Low Tide Count SurveyWeBS,0.0,14,6,6.0,2.0,1.0,0,68,7,Nov,16,16,2,2019-11-28 03:55:46
Priory Country Park (Barkers Lane Gravel Pit),nan,0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,(0),0.0,0,nan,0,0.0,0.0,1,0.0,1,1,nan,nan,nan,0,0,0.0,140,0,4.0,0.0,0.0,0,80,0,nan,16,16,2,2019-11-28 03:55:46
Dee Estuary (English counties),(0),0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0,1,0,0.0,0,4.0,4,1.0,1.0,1,1.0,1,4,2.0,2,7.0,8,9,21.0,13,13,11.0,10.0,12.0,8,14,32,Jan,15,15,2,2019-11-28 03:55:46
Eversley Cross and Yateley Gravel Pits,0,3,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,19.0,5,20.0,40,24,62,100.0,218,311.0,184,220.0,187.0,183,236.0,219,158,107.0,62,49.0,36,22,18.0,14,14,19.0,4.0,26.0,23,20,(0),nan,18,18,2,2019-11-28 03:55:46
Carmarthen Bay,0,nan,nan,0.0,0.0,0.0,0.0,nan,2.0,1,nan,(50),0.0,(0),(0),3,0.0,0,0.0,0,0.0,4.0,0,0.0,0,0,0.0,1,1.0,2Standard visit under the WeBS Low Tide Count SurveyWeBS,0,0.0,0,0,0.0,0.0,0.0,67,0,0,nan,13,13,2,2019-11-28 03:55:46
Llyn Traffwll,5,nan,0.0,1.0,1.0,1.0,0.0,2.0,1.0,7,0.0,0,0.0,0,0,0,0.0,2,2.0,3,3.0,4.0,2,4.0,19,10,9.0,11,10.0,12,11,14.0,14,14,10.0,13.0,17.0,12,14,9,Aug,13,13,2,2019-11-28 03:55:46
Blagdon Lake,0,0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0,1.0,0,0.0,1,1,1,1.0,6,10.0,5,10.0,6.0,3,14.0,(14),14,12.0,(11),11.0,11,17,19.0,17,23,13.0,17.0,17.0,15,9,3,Jan,12,12,2,2019-11-28 03:55:46
Chew Valley Lake,11,2,1.0,0.0,0.0,1.0,1.0,1.0,3.0,2,11.0,0,0.0,1,2,14,1.0,7,9.0,7,9.0,7.0,6,14.0,13,18,11.0,11,11.0,11,17,19.0,16,21,14.0,15.0,17.0,14,9,4,Sep,12,12,2,2019-11-28 03:55:46
Stocks Reservoir,0,0,9.0,6.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1,1.0,4,5,1,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,23,Jul,12,12,2,2019-11-28 03:55:46
Wellington Country Park,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12,0.0,0,0.0,0,0,0,4.0,1,1.0,0,0.0,2.0,0,0.0,1,0,0.0,5,0.0,9,2,5.0,5,5,11.0,8.0,21.0,4,5,6,Apr,9,9,2,2019-11-28 03:55:46
Alde Estuary,0,0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0,0.0,4,40.0,48,43,5,0.0,3,1.0,20,1.0,13.0,(1),1.0,11,3,1.0,2,19.0,0,1,108.0,40,5,0.0,2.0,10.0,14,7,7,Jan,8,8,2,2019-11-28 03:55:46
Blackwater Estuary,1,(0),1.0,0.0,1.0,3.0,8.0,0.0,1.0,(0),1.0,(0),0.0,1,14,9,0.0,0,1.0,(0),50.0,1.0,1,1.0,0,1,0.0,0,0.0,1,3,17.0,49,3Standard visit under the WeBS Low Tide Count SurveyWeBS,9.0,1.0,31.0,2,2,4,Nov,8,8,2,2019-11-28 03:55:46
Torr Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,17.0,1,9,6,Jun,8,8,2,2019-11-28 03:55:46
Lound Waterworks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,393,104.0,50,37,45.0,41,12,13.0,17.0,14.0,0,4,2,Feb,7,7,2,2019-11-28 03:55:46
Lower Derwent Ings,0,5,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0,7.0,20,9.0,2,2,0,0.0,9,2.0,11,0.0,2.0,2,3.0,1,1,2.0,1,6.0,1,0,56.0,59,2,3.0,0.0,0.0,7,22,8,Jan,7,7,2,2019-11-28 03:55:46
Rutland Water,0,0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,2,2.0,0,0.0,0,1,2,1.0,2,11.0,12,12.0,8.0,10,12.0,10,7,15.0,12,13.0,14,21,13.0,15,14,8.0,11.0,3.0,17,2,3,Dec,7,7,2,2019-11-28 03:55:46
Holland Marshes,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,0,0.0,0,0.0,0,0,nan,nan,nan,nan,0,0.0,0.0,0,1.0,0,0,1.0,0,0.0,0,0,0.0,0,0,0.0,0.0,3.0,0,28Supplementary visit under the WeBS Core Count SurveyWeBS,0,nan,6,6,2,2019-11-28 03:55:46
Island Barn Reservoir,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,nan,0.0,0,0.0,0,0,0.0,nan,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,30,Nov,6,6,2,2019-11-28 03:55:46
Yare Valley - Marlingford to Bawburgh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,23Supplementary visit under the WeBS Core Count SurveyWeBS,0,37.0,26Supplementary visit under the WeBS Core Count SurveyWeBS,25,1.0,0.0,1.0,3,11,17,Mar,6,6,2,2019-11-28 03:55:46
The Wash,0,0,1.0,1.0,12.0,8.0,6.0,0.0,0.0,2,4.0,1,3.0,1,0,56,0.0,(50),7.0,3,8.0,9.0,2,7.0,8,11,19.0,12,16.0,1,13,29.0,44,37,9.0,9.0,2.0,4,6,4,Mar,5,5,2,2019-11-28 03:55:46
Brading Harbour,0,0.0,0.0,0,0,0,0.0,7.0,0,0,1,0,0.0,0,0.0,0,(0),0,0,1.0,0.0,0,0.0,1,1,0,1,9,0,10,0,0,7,0,1,14,1,1,3,1,Aug,4,4,3,2019-11-28 03:56:12
Chelsea Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,22,0,nan,4,4,3,2019-11-28 03:56:12
Exe Estuary,1,1.0,0.0,1,2,(0),0.0,0.0,0,0,(0),(1),2.0,0,1.0,0,1,0,0,1.0,1.0,1,1.0,2,1,(1),0,0,1Standard visit under the WeBS Low Tide Count SurveyWeBS,1,1,0,2,1,1,1,1,2,(16),2,May,4,4,3,2019-11-28 03:56:12
Heigham Holmes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.0,(57),(34),53,(45),11.0,2.0,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,16,0,nan,4,4,3,2019-11-28 03:56:12
Mersey Estuary,0,0.0,1.0,0,1,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,2,0.0,0.0,0,1.0,11,0,0,1,2,1,0,0,0,0,38,26Standard visit under the WeBS Low Tide Count SurveyWeBS,3,2,6,3,4,Jul,4,4,3,2019-11-28 03:56:12
Poole Harbour,0,0.0,0.0,0,0,0,8.0,0.0,6,140,0,(0),94.0,(0),0.0,2,1,1,0,0.0,0.0,0,5.0,8,3,0,4,4,0,0,0,0,42,0,2,0,0,(0),22,0,nan,6,6,3,2019-11-28 03:56:12
Cemlyn Bay and Lagoon,0,0.0,0.0,1,nan,0,nan,0.0,0,0,0,0,0.0,0,0.0,0,0,0,4,0.0,0.0,0,0.0,0,0,0,0,0,6,0,0,0,0,0,0,8,5,0,0,nan,nan,3,3,3,2019-11-28 03:56:12
Cuckmere Estuary,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,2,2.0,1,4.0,24,(2),3,2,2.0,4.0,2,1.0,1,0,0,0,0,0,0,0,0,43,0,0,0,5,(0),9,3,Dec,4,4,3,2019-11-28 03:56:12
Horsted Keynes Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,0,(10),Mar,3,3,3,2019-11-28 03:56:12
Llangorse Lake,nan,nan,0.0,0,5,0,0.0,0.0,0,0,0,0,0.0,0,1.0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,8,8,1,0,0,0,0,0,0,(0),0,0,0,17,Mar,4,4,3,2019-11-28 03:56:12
Mawddach Estuary,0,0.0,0.0,nan,0,nan,nan,0.0,0,0,0,0,0.0,2,0.0,0,0,0,1,nan,nan,nan,0.0,0,nan,nan,nan,0,0,1,0,0,0,0,0,0,1,15,0,1,Nov,3,3,3,2019-11-28 03:56:12
Medway Estuary,0,0.0,15.0,0,(0),1,1.0,0.0,0,2,(0),0,0.0,0,1.0,0,0,0,0,0.0,1.0,63,1.0,1,0,0,0,(1),1,4,1,6,0,1,(0),8,2,3,4,0,nan,3,3,3,2019-11-28 03:56:12
Southampton Water,2,1.0,0.0,0,1,0,0.0,0.0,0,(0),(0),0,0.0,2,0.0,(0),1,0,0,0.0,0.0,0,1.0,10,11,9,(9),7,(10),(9),9,(6),(6),7,(4),4,(5),2,2,0,nan,3,3,3,2019-11-28 03:56:12
Thames Estuary,10,1.0,28.0,1,1,9,18.0,1.0,2,0,7,3,0.0,4,1.0,1,1,0,2,1.0,3.0,1,2.0,2,17,1,1,2,1,33,(10),1,4,8,2,1,2,3,6,3,Dec,3,3,3,2019-11-28 03:56:12
Bittell Reservoirs,1,1.0,0.0,0,0,29,46.0,67.0,67,117,140,3,1.0,0,0.0,0,0,0,0,1.0,1.0,0,0.0,1,0,0,0,(0),0,0,0,0,0,1,0,0,0,(0),1,10,Jul,3,3,3,2019-11-28 03:56:12
Bolton-on-Swale Gravel Pits,nan,nan,nan,nan,nan,0,0.0,0.0,0,6,1,nan,2.0,8,2.0,5,2,(26),3,11.0,4.0,7,6.0,8,7,11,13,7,13,16,23,7,26,25,56,2,1,(2),2,1,Jul,2,2,3,2019-11-28 03:56:12
